Country Name,Country Code,"2001 [YR2001] - Population, total [SP.POP.TOTL]","2002 [YR2002] - Population, total [SP.POP.TOTL]","2003 [YR2003] - Population, total [SP.POP.TOTL]","2004 [YR2004] - Population, total [SP.POP.TOTL]","2005 [YR2005] - Population, total [SP.POP.TOTL]","2006 [YR2006] - Population, total [SP.POP.TOTL]","2007 [YR2007] - Population, total [SP.POP.TOTL]","2008 [YR2008] - Population, total [SP.POP.TOTL]","2009 [YR2009] - Population, total [SP.POP.TOTL]","2010 [YR2010] - Population, total [SP.POP.TOTL]","2011 [YR2011] - Population, total [SP.POP.TOTL]","2012 [YR2012] - Population, total [SP.POP.TOTL]","2013 [YR2013] - Population, total [SP.POP.TOTL]","2014 [YR2014] - Population, total [SP.POP.TOTL]","2015 [YR2015] - Population, total [SP.POP.TOTL]","2016 [YR2016] - Population, total [SP.POP.TOTL]","2017 [YR2017] - Population, total [SP.POP.TOTL]","2018 [YR2018] - Population, total [SP.POP.TOTL]","2019 [YR2019] - Population, total [SP.POP.TOTL]","2020 [YR2020] - Population, total [SP.POP.TOTL]","2021 [YR2021] - Population, total [SP.POP.TOTL]","2022 [YR2022] - Population, total [SP.POP.TOTL]","2023 [YR2023] - Population, total [SP.POP.TOTL]","2024 [YR2024] - Population, total [SP.POP.TOTL]","2025 [YR2025] - Population, total [SP.POP.TOTL]","2026 [YR2026] - Population, total [SP.POP.TOTL]","2027 [YR2027] - Population, total [SP.POP.TOTL]","2028 [YR2028] - Population, total [SP.POP.TOTL]","2029 [YR2029] - Population, total [SP.POP.TOTL]","2030 [YR2030] - Population, total [SP.POP.TOTL]","2031 [YR2031] - Population, total [SP.POP.TOTL]","2032 [YR2032] - Population, total [SP.POP.TOTL]","2033 [YR2033] - Population, total [SP.POP.TOTL]","2034 [YR2034] - Population, total [SP.POP.TOTL]","2035 [YR2035] - Population, total [SP.POP.TOTL]","2036 [YR2036] - Population, total [SP.POP.TOTL]","2037 [YR2037] - Population, total [SP.POP.TOTL]","2038 [YR2038] - Population, total [SP.POP.TOTL]","2039 [YR2039] - Population, total [SP.POP.TOTL]","2040 [YR2040] - Population, total [SP.POP.TOTL]","2041 [YR2041] - Population, total [SP.POP.TOTL]","2042 [YR2042] - Population, total [SP.POP.TOTL]","2043 [YR2043] - Population, total [SP.POP.TOTL]","2044 [YR2044] - Population, total [SP.POP.TOTL]","2045 [YR2045] - Population, total [SP.POP.TOTL]","2046 [YR2046] - Population, total [SP.POP.TOTL]","2047 [YR2047] - Population, total [SP.POP.TOTL]","2048 [YR2048] - Population, total [SP.POP.TOTL]","2049 [YR2049] - Population, total [SP.POP.TOTL]","2050 [YR2050] - Population, total [SP.POP.TOTL]"
Japan,JPN,127149000,127445000,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127833000,127629000,127445000,127276000,127141000,127076000,126972000,126811000,126633000,126261000,125681593,125105000,124508000,123886000,123233000,122551000,121841000,121106000,120352000,119584000,118808000,118029000,117252000,116481000,115718000,114965000,114225000,113497000,112783000,112080000,111387000,110701000,110020000,109340000,108658000,107970000,107275000,106571000,105855000,105112000
Jordan,JOR,5217328,5317514,5434036,5580241,5765639,5991547,6255290,6556473,6893258,7261541,7662858,8089963,8518992,8918822,9266573,9554286,9785840,9965322,10101697,10203140,10269022,10301000,10312000,10321000,10340000,10375000,10426000,10492000,10569000,10655000,10751000,10858000,10974000,11096000,11224000,11355000,11489000,11624000,11757000,11887000,12011000,12131000,12245000,12355000,12462000,12564000,12662000,12756000,12846000,12932000
Kazakhstan,KAZ,14858335,14858948,14909019,15012984,15147029,15308085,15484192,15776938,16092822,16321872,16557202,16792090,17035551,17288285,17542806,17794055,18037776,18276452,18513673,18755666,19002586,19213000,19416000,19613000,19800000,19979000,20153000,20323000,20492000,20660000,20830000,21000000,21171000,21344000,21517000,21692000,21868000,22045000,22223000,22402000,22579000,22754000,22927000,23097000,23264000,23428000,23588000,23744000,23896000,24044000
Kenya,KEN,32848569,33751746,34678781,35635267,36624897,37649039,38705934,39791984,40901798,42030684,43178270,44343469,45519986,46700063,47878339,49051531,50221146,51392570,52573967,53771300,54985702,56215000,57459000,58715000,59981000,61258000,62544000,63839000,65141000,66450000,67763000,69081000,70399000,71715000,73026000,74331000,75628000,76917000,78198000,79470000,80732000,81983000,83223000,84452000,85669000,86875000,88068000,89248000,90417000,91575000
Kiribati,KIR,85844,87308,88840,90498,92319,94341,96531,98760,100928,102930,104735,106359,107887,109387,110927,112529,114153,115842,117608,119446,121388,123000,126000,128000,130000,132000,134000,135000,137000,139000,141000,143000,145000,146000,148000,150000,152000,154000,156000,157000,159000,161000,163000,165000,167000,169000,171000,173000,175000,177000
"Korea, Dem. People's Rep.",PRK,23132982,23339453,23542434,23732740,23904167,24054866,24188330,24310143,24428340,24548840,24673392,24800638,24929500,25057793,25183832,25307665,25429816,25549606,25666158,25778815,25887045,25991000,26090000,26185000,26275000,26362000,26444000,26520000,26590000,26651000,26705000,26751000,26789000,26820000,26843000,26859000,26868000,26871000,26867000,26858000,26844000,26825000,26803000,26776000,26747000,26715000,26680000,26644000,26604000,26562000
"Korea, Rep.",KOR,47370164,47644736,47892330,48082519,48184561,48438292,48683638,49054708,49307835,49554112,49936638,50199853,50428893,50746659,51014947,51217803,51361911,51585058,51764822,51836239,51744876,51743000,51732000,51712000,51685000,51650000,51607000,51555000,51498000,51435000,51362000,51278000,51178000,51059000,50919000,50756000,50571000,50362000,50131000,49877000,49604000,49313000,49009000,48692000,48365000,48029000,47683000,47329000,46964000,46581000
Kosovo,XKX,1701154,1702310,1703466,1704622,1705780,1719536,1733404,1747383,1761474,1775680,1791000,1807106,1818117,1812771,1788196,1777557,1791003,1797085,1788878,1790133,1806279,1811000,1815000,1818000,1820000,1822000,1822000,1822000,1821000,1818000,1815000,1812000,1808000,1804000,1798000,1793000,1786000,1780000,1773000,1765000,1756000,1748000,1740000,1730000,1720000,1709000,1698000,1687000,1675000,1663000
Kuwait,KWT,2103273,2136991,2161626,2200498,2270196,2373661,2504026,2656010,2821041,2991884,3168054,3348852,3526382,3690939,3835588,3956862,4056102,4137314,4207077,4270563,4328553,4380000,4428000,4473000,4518000,4563000,4609000,4656000,4702000,4747000,4791000,4834000,4876000,4918000,4959000,5000000,5040000,5079000,5116000,5153000,5187000,5219000,5250000,5278000,5304000,5326000,5347000,5364000,5380000,5393000
Kyrgyz Republic,KGZ,4945100,4990700,5043300,5104700,5162600,5218400,5268400,5318700,5383300,5447900,5514600,5607200,5719600,5835500,5956900,6079500,6198200,6322800,6456200,6579900,6694200,6794000,6891000,6986000,7079000,7171000,7262000,7352000,7441000,7530000,7618000,7706000,7795000,7884000,7974000,8064000,8154000,8244000,8334000,8424000,8512000,8599000,8685000,8770000,8855000,8938000,9020000,9100000,9179000,9257000
Lao PDR,LAO,5409584,5493247,5576640,5662199,5751675,5846075,5944950,6046630,6148621,6249168,6347564,6444527,6541302,6639763,6741160,6845848,6953031,7061498,7169456,7275556,7379358,7481000,7581000,7678000,7775000,7869000,7961000,8052000,8140000,8226000,8310000,8392000,8472000,8550000,8626000,8699000,8771000,8840000,8907000,8972000,9034000,9094000,9152000,9207000,9259000,9309000,9356000,9400000,9441000,9480000
Late-demographic dividend,LTE,2059865510,2073728615,2087283920,2100722053,2114284047,2127728043,2140885484,2154327657,2167824335,2180813069,2194720542,2210411890,2226143139,2241445370,2256036257,2270527108,2285348589,2297874675,2308520840,2316803603,2322070390,2330017000,2337135000,2343493000,2349181000,2354238000,2358669000,2362498000,2365699000,2368288000,2370259000,2371634000,2372409000,2372595000,2372219000,2371323000,2369962000,2368181000,2366016000,2363479000,2360555000,2357208000,2353425000,2349184000,2344490000,2339319000,2333685000,2327584000,2321040000,2313813000
Latin America & Caribbean,LCN,528283130,535509387,542599527,549590680,556504216,563337657,570091479,576783743,583430021,589932530,596538052,603094656,609595811,615999056,622301041,628493594,634566052,640483827,646431661,652365260,658089208,663698000,669280000,674735000,680042000,685192000,690184000,695017000,699685000,704190000,708519000,712681000,716674000,720492000,724151000,727639000,730963000,734118000,737110000,739941000,742612000,745125000,747484000,749686000,751740000,753643000,755397000,757007000,758459000,759760000
Latin America & Caribbean (excluding high income),LAC,475440986,481959768,488349113,494646419,500875746,507046299,513157641,519213109,525213960,531056827,536993385,542860814,548716683,554632891,560649920,566801404,573044918,579255220,585257302,590928198,596217644,601202000,605927000,610505000,615027000,619508000,623920000,628240000,632441000,636497000,640399000,644162000,647783000,651255000,654585000,657764000,660797000,663682000,666422000,669018000,671473000,673786000,675963000,677998000,679898000,681664000,683294000,684792000,686150000,687366000
Latin America & the Caribbean (IDA & IBRD countries),TLA,512247446,519420841,526462542,533415243,540306150,547139431,553909998,560624662,567289597,573800616,580428448,586999600,593506947,599935349,606271936,612511541,618653508,624698076,630644771,636492840,642239838,647917000,653482000,658919000,664223000,669383000,674397000,679257000,683963000,688510000,692887000,697099000,701146000,705021000,708736000,712286000,715671000,718891000,721952000,724853000,727598000,730190000,732629000,734915000,737053000,739047000,740893000,742597000,744148000,745549000
Latvia,LVA,2337170,2310173,2287955,2263122,2238799,2218357,2200325,2177322,2141669,2097555,2059709,2034319,2012647,1993782,1977527,1959537,1942248,1927174,1913822,1900449,1883162,1866000,1849000,1832000,1816000,1800000,1784000,1769000,1754000,1739000,1725000,1710000,1696000,1682000,1668000,1655000,1642000,1629000,1617000,1605000,1593000,1582000,1571000,1560000,1550000,1540000,1530000,1521000,1512000,1503000
Least developed countries: UN classification,LDC,673713879,690867506,708388980,726127048,743981227,761918122,780000109,798338725,817092371,836378625,856228779,876617729,897536802,918959067,940860189,963241392,986099903,1009398577,1033088986,1057131013,1081504804,1106201000,1131198000,1156482000,1182033000,1207836000,1233876000,1260147000,1286654000,1313375000,1340314000,1367453000,1394776000,1422272000,1449936000,1477742000,1505690000,1533763000,1561959000,1590256000,1618648000,1647120000,1675667000,1704266000,1732902000,1761563000,1790242000,1818925000,1847592000,1876242000
Lebanon,LBN,3990999,4182205,4388378,4569377,4698761,4759760,4767347,4764745,4813026,4953064,5202022,5537620,5913016,6261046,6532681,6714281,6819373,6859408,6855709,6825442,6769151,6685000,6585000,6485000,6397000,6327000,6274000,6237000,6211000,6195000,6187000,6190000,6202000,6220000,6242000,6266000,6294000,6323000,6350000,6376000,6399000,6419000,6437000,6453000,6468000,6482000,6495000,6507000,6518000,6528000
Lesotho,LSO,2035738,2029832,2018355,2005953,1996115,1989933,1986926,1987130,1990135,1995575,2003793,2014988,2028528,2043448,2059011,2075041,2091532,2108327,2125267,2142252,2159067,2176000,2192000,2210000,2228000,2246000,2266000,2286000,2306000,2325000,2344000,2363000,2382000,2400000,2418000,2436000,2454000,2472000,2490000,2507000,2525000,2542000,2559000,2575000,2591000,2607000,2622000,2637000,2651000,2665000
Liberia,LBR,2953928,3024727,3077055,3135654,3218114,3329211,3461911,3607863,3754129,3891357,4017446,4135662,4248337,4359508,4472229,4586788,4702224,4818976,4937374,5057677,5180208,5305000,5432000,5561000,5692000,5825000,5959000,6095000,6233000,6372000,6512000,6654000,6797000,6941000,7086000,7232000,7379000,7527000,7676000,7825000,7975000,8126000,8277000,8428000,8580000,8732000,8884000,9036000,9188000,9340000
Libya,LBY,5443249,5531097,5620545,5710163,5798615,5886874,5974786,6058740,6133987,6197667,6247438,6285751,6320350,6362039,6418315,6492160,6580723,6678565,6777453,6871287,6958538,7041000,7119000,7194000,7268000,7340000,7410000,7477000,7543000,7606000,7668000,7728000,7785000,7842000,7897000,7950000,8003000,8053000,8103000,8151000,8197000,8242000,8286000,8327000,8366000,8403000,8437000,8469000,8499000,8525000
Liechtenstein,LIE,33543,33885,34172,34444,34718,34975,35217,35469,35723,35996,36299,36615,36940,37219,37465,37655,37805,37918,38020,38137,38254,38000,39000,39000,39000,39000,39000,39000,39000,39000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
Lithuania,LTU,3470818,3443067,3415213,3377075,3322528,3269909,3231294,3198231,3162916,3097282,3028115,2987773,2957689,2932367,2904910,2868231,2828403,2801543,2794137,2794885,2795321,2769000,2746000,2724000,2702000,2681000,2659000,2639000,2618000,2598000,2577000,2557000,2537000,2516000,2496000,2475000,2455000,2435000,2415000,2396000,2377000,2359000,2341000,2323000,2306000,2289000,2273000,2257000,2242000,2227000
Low & middle income,LMY,5062005531,5133727377,5205374431,5277135766,5349238979,5421454926,5493905785,5567161489,5640982842,5715348512,5791393958,5869616742,5948565943,6027587134,6106513340,6185804647,6265829670,6343992496,6420460567,6494812232,6566551568,6640819000,6714282000,6786928000,6858768000,6929786000,6999967000,7069328000,7137881000,7205620000,7272544000,7338620000,7403797000,7468039000,7531341000,7593694000,7655159000,7715734000,7775455000,7834295000,7892214000,7949153000,8005089000,8059962000,8113763000,8166444000,8218012000,8268439000,8317714000,8365598000
Low income,LIC,408888293,420724441,432981751,445606231,458551278,471833171,485450408,499316731,513320081,527389304,541490348,555670836,570043355,584767206,599964298,615653729,631818732,648498946,665731857,683532991,701926973,720881000,740272000,759943000,779765000,799695000,819739000,839905000,860225000,880706000,901343000,922113000,943020000,964078000,985289000,1006653000,1028155000,1049790000,1071553000,1093428000,1115412000,1137490000,1159659000,1181895000,1204181000,1226508000,1248866000,1271252000,1293641000,1316037000
Lower middle income,LMC,2480944573,2523627628,2566374848,2609199736,2652117955,2695156950,2738371491,2781815342,2825555944,2869900017,2914508526,2958978379,3003828154,3048756862,3093861642,3139004988,3184107532,3229156489,3274021191,3318682068,3363196656,3407094000,3450691000,3493972000,3536924000,3579520000,3621741000,3663580000,3705028000,3746079000,3786722000,3826946000,3866703000,3905970000,3944735000,3982953000,4020642000,4057770000,4094340000,4130338000,4165751000,4200568000,4234785000,4268397000,4301402000,4333784000,4365546000,4396670000,4427154000,4456983000
Luxembourg,LUX,441525,446175,451630,458095,465158,472637,479993,488650,497783,506953,518347,530946,543360,556319,569604,582014,596336,607950,620001,630419,639070,646000,652000,658000,663000,669000,675000,681000,687000,692000,698000,703000,708000,714000,719000,724000,729000,734000,739000,743000,748000,752000,757000,761000,765000,769000,773000,777000,781000,784000
"Macao SAR, China",MAC,437928,448813,460157,471600,482863,493804,504504,515232,526401,538215,550833,564037,577368,590210,602093,612824,622578,631633,640446,649342,658391,667000,677000,685000,694000,702000,710000,718000,725000,732000,739000,745000,751000,757000,763000,769000,775000,780000,785000,791000,796000,801000,806000,811000,816000,820000,825000,830000,834000,838000
Madagascar,MDG,16260933,16765122,17279139,17802992,18336722,18880265,19433520,19996476,20569115,21151640,21743970,22346641,22961259,23589897,24234080,24894370,25570511,26262313,26969306,27691019,28427333,29178000,29943000,30720000,31510000,32311000,33124000,33948000,34781000,35622000,36472000,37329000,38194000,39067000,39949000,40838000,41735000,42640000,43552000,44471000,45398000,46331000,47272000,48220000,49175000,50137000,51106000,52082000,53062000,54048000
Malawi,MWI,11432001,11713663,12000183,12301837,12625950,12973693,13341808,13727899,14128161,14539609,14962118,15396010,15839287,16289550,16745305,17205253,17670193,18143215,18628749,19129955,19647681,20181000,20728000,21288000,21857000,22437000,23027000,23627000,24234000,24849000,25472000,26101000,26736000,27376000,28022000,28673000,29328000,29987000,30650000,31317000,31988000,32663000,33341000,34021000,34704000,35388000,36074000,36762000,37452000,38143000
Malaysia,MYS,23709115,24208391,24698821,25190647,25690615,26201954,26720367,27236003,27735038,28208028,28650962,29068189,29468923,29866606,30270965,30684652,31104655,31528033,31949789,32365998,32776195,33181000,33579000,33969000,34350000,34720000,35080000,35429000,35767000,36095000,36412000,36718000,37012000,37295000,37566000,37825000,38073000,38309000,38536000,38755000,38965000,39166000,39361000,39548000,39730000,39905000,40075000,40239000,40397000,40550000
Maldives,MDV,286309,294185,302681,311265,319604,327489,335172,343448,353391,365730,380493,397231,415592,435018,454914,475505,496398,515704,530957,540542,543620,541000,535000,528000,522000,519000,517000,517000,518000,519000,522000,525000,530000,534000,538000,542000,546000,549000,553000,556000,560000,563000,567000,570000,573000,576000,579000,582000,584000,586000
Mali,MLI,11271603,11616890,11982692,12369078,12775509,13203378,13651455,14113578,14581427,15049352,15514593,15979492,16449854,16934213,17438772,17965448,18512429,19077755,19658023,20250834,20855724,21474000,22106000,22753000,23416000,24095000,24789000,25498000,26221000,26957000,27706000,28467000,29239000,30024000,30819000,31625000,32442000,33267000,34099000,34939000,35783000,36633000,37489000,38348000,39213000,40081000,40952000,41827000,42705000,43586000
Malta,MLT,393028,395969,398582,401268,403834,405308,406724,409379,412477,414508,416268,420028,425967,434558,445053,455356,467999,484630,504062,515332,516869,518000,519000,520000,521000,521000,521000,521000,521000,520000,520000,519000,518000,516000,515000,514000,512000,511000,509000,507000,506000,504000,502000,500000,499000,497000,496000,494000,493000,491000
Marshall Islands,MHL,51411,52368,53465,54476,55257,55765,56046,56166,56255,56361,56524,56712,56933,57183,57444,57723,58053,58412,58791,59194,59618,60000,61000,61000,62000,62000,63000,64000,64000,65000,66000,66000,67000,68000,68000,69000,70000,70000,71000,71000,72000,72000,73000,73000,74000,74000,74000,75000,75000,75000
Mauritania,MRT,2702405,2778097,2857150,2939246,3024198,3111908,3202512,3296237,3393408,3494200,3598646,3706555,3817497,3930894,4046304,4163532,4282582,4403312,4525698,4649660,4775110,4902000,5030000,5160000,5291000,5423000,5557000,5692000,5829000,5967000,6107000,6248000,6391000,6535000,6681000,6828000,6977000,7127000,7279000,7432000,7586000,7742000,7899000,8056000,8215000,8376000,8537000,8699000,8861000,9025000
Mauritius,MUS,1196287,1204621,1213370,1221003,1228254,1233996,1239630,1244121,1247429,1250400,1252404,1255882,1258653,1260934,1262605,1263473,1264613,1265303,1265711,1265740,1266060,1267000,1268000,1269000,1269000,1269000,1269000,1268000,1267000,1266000,1265000,1263000,1260000,1258000,1255000,1251000,1248000,1244000,1240000,1235000,1230000,1225000,1219000,1213000,1207000,1201000,1195000,1188000,1182000,1175000
Mexico,MEX,100298152,101684764,103081020,104514934,106005199,107560155,109170503,110815272,112463886,114092961,115695468,117274156,118827158,120355137,121858251,123333379,124777326,126190782,127575529,128932753,130262220,131563000,132834000,134074000,135284000,136462000,137609000,138725000,139814000,140876000,141912000,142921000,143900000,144845000,145755000,146628000,147464000,148264000,149029000,149759000,150454000,151115000,151740000,152331000,152887000,153409000,153897000,154350000,154768000,155151000
"Micronesia, Fed. Sts.",FSM,107170,107027,106902,106624,106135,105374,104442,103549,102971,102916,103448,104506,105922,107444,108886,110215,111461,112640,113811,115021,116255,117000,119000,120000,121000,122000,123000,125000,126000,127000,128000,129000,130000,130000,131000,132000,133000,133000,134000,135000,135000,136000,136000,137000,137000,137000,138000,138000,139000,139000
Middle East & North Africa,MEA,321297196,327362274,333608806,340143477,347029862,354302465,361929175,369823227,377883960,385917928,393942668,401968363,409968633,417924350,425821771,433616042,441298977,448974232,456709496,464542370,472494995,480534000,488572000,496484000,504180000,511621000,518834000,525851000,532714000,539467000,546110000,552637000,559075000,565460000,571814000,578146000,584458000,590742000,596986000,603181000,609324000,615415000,621443000,627400000,633273000,639046000,644730000,650308000,655780000,661128000
Middle East & North Africa (excluding high income),MNA,284249005,289264351,294343659,299502746,304755514,310109431,315573363,321168746,326900966,332777842,338813060,344998428,351290405,357629838,363975556,370294017,376588457,382955167,389457075,396147843,403051615,410117000,417235000,424259000,431087000,437675000,444048000,450244000,456322000,462328000,468262000,474119000,479918000,485689000,491450000,497207000,502964000,508710000,514430000,520113000,525754000,531354000,536903000,542396000,547819000,553165000,558435000,563617000,568702000,573676000
Middle East & North Africa (IDA & IBRD countries),TMN,281251221,286188978,291188690,296266120,301435118,306703097,312078867,317576769,323211867,328991681,334930074,341018430,347213697,353456440,359705464,365926929,372133652,378386080,384771769,391344574,398128866,405078000,412080000,418987000,425698000,432169000,438425000,444503000,450463000,456351000,462166000,467905000,473585000,479236000,484878000,490516000,496154000,501782000,507383000,512948000,518472000,523955000,529388000,534765000,540073000,545305000,550462000,555532000,560506000,565369000
Middle income,MIC,4653117238,4713002936,4772392680,4831529535,4890687701,4949621755,5008455377,5067844758,5127662761,5187959208,5249903610,5313945906,5378522588,5442819928,5506549042,5570150918,5634010938,5695493550,5754728710,5811279241,5864624595,5919938000,5974010000,6026985000,6079003000,6130091000,6180228000,6229423000,6277656000,6324914000,6371201000,6416507000,6460777000,6503961000,6546052000,6587041000,6627004000,6665944000,6703902000,6740867000,6776802000,6811663000,6845430000,6878067000,6909582000,6939936000,6969146000,6997187000,7024073000,7049561000
Moldova,MDA,2917252,2910504,2902320,2895147,2888111,2880095,2873429,2867964,2864346,2861487,2859833,2859458,2858692,2856950,2834530,2802170,2755158,2708214,2664974,2620495,2573928,2566000,2558000,2550000,2540000,2530000,2518000,2506000,2494000,2480000,2466000,2451000,2435000,2419000,2402000,2384000,2366000,2348000,2330000,2312000,2293000,2275000,2257000,2238000,2220000,2201000,2183000,2164000,2146000,2127000
Monaco,MCO,32474,32804,33144,33499,33842,34189,34524,34860,35223,35609,36025,36459,36899,37320,37723,38070,38392,38682,38967,39244,39520,40000,40000,40000,41000,41000,41000,41000,42000,42000,42000,42000,42000,43000,43000,43000,43000,44000,44000,44000,44000,44000,45000,45000,45000,45000,45000,46000,46000,46000
Mongolia,MNG,2419594,2443261,2468765,2496394,2526429,2558854,2593819,2631899,2673794,2719902,2770357,2824698,2881783,2940111,2998433,3056358,3113788,3170214,3225166,3278292,3329282,3378000,3425000,3470000,3514000,3557000,3598000,3638000,3677000,3716000,3754000,3792000,3830000,3867000,3904000,3941000,3978000,4015000,4052000,4089000,4126000,4163000,4200000,4236000,4273000,4309000,4345000,4380000,4415000,4449000
Montenegro,MNE,607389,609828,612267,613353,614261,615025,615875,616969,618294,619428,620079,620601,621207,621810,622159,622303,622373,622227,622028,621306,620173,620000,620000,619000,619000,619000,618000,618000,617000,616000,615000,614000,612000,611000,610000,608000,606000,604000,602000,600000,599000,597000,595000,592000,590000,588000,586000,584000,582000,580000
Morocco,MAR,29126323,29454765,29782884,30115196,30455563,30804689,31163670,31536807,31929087,32343384,32781860,33241898,33715705,34192358,34663608,35126274,35581257,36029089,36471766,36910558,37344787,37773000,38194000,38606000,39010000,39404000,39789000,40164000,40530000,40887000,41236000,41576000,41906000,42228000,42541000,42845000,43141000,43427000,43705000,43973000,44233000,44483000,44725000,44958000,45182000,45396000,45602000,45799000,45987000,46165000
Mozambique,MOZ,18221884,18764147,19331097,19910549,20493927,21080108,21673319,22276596,22894718,23531567,24187500,24862673,25560752,26286192,27042001,27829930,28649007,29496009,30366043,31255435,32163045,33089000,34035000,35000000,35985000,36989000,38012000,39053000,40111000,41185000,42275000,43381000,44501000,45637000,46786000,47950000,49127000,50316000,51518000,52729000,53951000,55182000,56422000,57671000,58928000,60193000,61464000,62742000,64025000,65313000
Myanmar,MMR,47225119,47702163,48148907,48564489,48949931,49301049,49621479,49929642,50250366,50600827,50990612,51413703,51852464,52280816,52680724,53045199,53382521,53708318,54045422,54409794,54806014,55227000,55664000,56101000,56528000,56943000,57346000,57736000,58114000,58478000,58829000,59164000,59482000,59782000,60065000,60329000,60574000,60801000,61010000,61202000,61376000,61533000,61674000,61800000,61910000,62005000,62086000,62154000,62210000,62253000
Namibia,NAM,1823667,1851519,1879113,1907737,1938316,1971318,2006516,2043382,2081039,2118877,2156698,2194777,2233506,2273426,2314901,2358044,2402623,2448300,2494524,2540916,2587344,2634000,2680000,2727000,2774000,2821000,2868000,2916000,2963000,3011000,3059000,3107000,3155000,3204000,3252000,3301000,3350000,3399000,3448000,3497000,3546000,3595000,3644000,3693000,3742000,3790000,3839000,3887000,3934000,3981000
Nauru,NRU,10219,10102,9990,9906,9848,9827,9846,9880,9945,10009,10069,10136,10208,10289,10374,10474,10577,10678,10764,10834,10873,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
Nepal,NPL,24347113,24725625,25080880,25419337,25744500,26066687,26382586,26666581,26883531,27013207,27041220,26989160,26916795,26905982,27015033,27263430,27632682,28095712,28608715,29136808,29674920,30226000,30770000,31286000,31757000,32175000,32539000,32855000,33136000,33390000,33617000,33817000,33993000,34152000,34300000,34437000,34566000,34685000,34793000,34889000,34975000,35050000,35116000,35173000,35221000,35260000,35290000,35311000,35322000,35324000
Netherlands,NLD,16046180,16148929,16225302,16281779,16319868,16346101,16381696,16445593,16530388,16615394,16693074,16754962,16804432,16865008,16939923,17030314,17131296,17231624,17344874,17441500,17533405,17567000,17601000,17633000,17663000,17689000,17712000,17731000,17747000,17759000,17767000,17773000,17775000,17776000,17774000,17769000,17761000,17751000,17736000,17719000,17698000,17674000,17647000,17617000,17584000,17549000,17512000,17474000,17434000,17392000
New Caledonia,NCL,217324,221490,225296,228750,232250,235750,239250,242750,245950,249750,254350,259000,263650,268050,268700,269350,270000,270650,271300,271960,272620,275000,278000,280000,283000,285000,287000,290000,292000,294000,296000,299000,301000,303000,305000,307000,309000,311000,312000,314000,316000,317000,319000,320000,322000,323000,324000,325000,326000,327000
New Zealand,NZL,3880500,3948500,4027200,4087500,4133900,4184600,4223800,4259800,4302600,4350700,4384000,4408100,4442100,4516500,4609400,4714100,4813600,4900600,4979200,5090200,5122600,5160000,5197000,5233000,5268000,5302000,5336000,5368000,5399000,5429000,5458000,5486000,5512000,5538000,5563000,5587000,5611000,5633000,5655000,5675000,5695000,5714000,5732000,5749000,5765000,5781000,5796000,5810000,5824000,5837000
Nicaragua,NIC,5145367,5219324,5292115,5364930,5438692,5513757,5590066,5667436,5745538,5824058,5903035,5982530,6062462,6142734,6223234,6303970,6384843,6465502,6545503,6624554,6702379,6779000,6855000,6931000,7008000,7085000,7163000,7241000,7317000,7392000,7465000,7536000,7605000,7673000,7740000,7805000,7868000,7930000,7990000,8049000,8106000,8161000,8214000,8265000,8314000,8362000,8407000,8451000,8492000,8531000
Niger,NER,11751364,12189988,12647983,13125914,13624474,14143969,14685404,15250913,15843131,16464025,17114770,17795209,18504287,19240182,20001663,20788789,21602388,22442831,23310719,24206636,25130810,26084000,27066000,28080000,29126000,30204000,31315000,32458000,33636000,34846000,36090000,37367000,38678000,40021000,41396000,42804000,44243000,45713000,47214000,48746000,50307000,51897000,53516000,55163000,56837000,58538000,60264000,62016000,63792000,65593000
Nigeria,NGA,125394046,128596079,131900634,135320420,138865014,142538305,146339971,150269622,154324939,158503203,162805080,167228803,171765819,176404931,181137454,185960244,190873247,195874685,200963603,206139587,211400704,216747000,222182000,227713000,233343000,239073000,244902000,250830000,256855000,262977000,269195000,275508000,281912000,288406000,294986000,301650000,308394000,315215000,322107000,329067000,336090000,343173000,350309000,357491000,364712000,371967000,379254000,386573000,393926000,401315000
North America,NAC,316052361,319048184,321815286,324809693,327824506,331015609,334185120,337406357,340466060,343397156,345987373,348656682,351207902,353888902,356507139,359245796,361731237,363967201,365995094,369602177,370203720,372287000,374419000,376541000,378658000,380767000,382861000,384931000,386976000,389000000,391002000,392975000,394909000,396792000,398618000,400387000,402098000,403755000,405362000,406923000,408441000,409919000,411364000,412782000,414179000,415562000,416938000,418311000,419691000,421041000
North Macedonia,MKD,2034882,2020157,2026773,2032544,2036855,2040228,2043559,2046898,2050671,2055004,2058539,2061044,2064032,2067471,2070226,2072490,2074502,2076217,2076694,2072531,2065092,2063000,2061000,2059000,2056000,2052000,2048000,2044000,2038000,2032000,2026000,2019000,2011000,2003000,1994000,1985000,1976000,1966000,1956000,1945000,1935000,1924000,1914000,1903000,1892000,1881000,1870000,1859000,1847000,1836000
